id,city,riqi,temperature_h,temperature_l,weather,wind_direction,E,S,W,N,wind_power,min_wind_power,max_wind_power
1,三亚,2015/7/1,33,28,多云,西南风,0,1,1,0,3-4级,3,4
2,三亚,2015/7/2,34,28,多云,西南风,0,1,1,0,3-4级,3,4
3,三亚,2015/7/3,34,28,多云,西南风,0,1,1,0,3-4级,3,4
4,三亚,2015/7/4,35,28,多云,西南风,0,1,1,0,3-4级,3,4
5,三亚,2015/7/5,33,27,雷雨~多云,西北风,0,0,1,1,3-4级,3,4
6,三亚,2015/7/6,33,28,雷雨~多云,西北风,0,0,1,1,3-4级,3,4
7,三亚,2015/7/7,34,28,多云,东北风,1,0,0,1,3-4级,3,4
8,三亚,2015/7/8,32,27,多云,东北风,1,0,0,1,3-4级,3,4
9,三亚,2015/7/9,32,27,多云,东北风,1,0,0,1,3-4级,3,4
10,三亚,2015/7/10,33,26,多云,东北风,1,0,0,1,3-4级,3,4
11,三亚,2015/7/11,32,26,多云,东南风,1,1,0,0,3-4级,3,4
12,三亚,2015/7/12,32,27,多云,东北风,1,0,0,1,3-4级,3,4
13,三亚,2015/7/13,32,27,阵雨~多云,东南风,1,1,0,0,3-4级,3,4
14,三亚,2015/7/14,32,27,多云,西南风,0,1,1,0,3-4级,3,4
15,三亚,2015/7/15,33,28,多云,东南风,1,1,0,0,3-4级,3,4
16,三亚,2015/7/16,33,28,多云,西南风,0,1,1,0,3-4级,3,4
17,三亚,2015/7/17,32,27,多云~阵雨,西南风,0,1,1,0,3-4级,3,4
18,三亚,2015/7/18,31,26,大到暴雨,西南风,0,1,1,0,3-4级,3,4
19,三亚,2015/7/19,29,26,大到暴雨,西南风,0,1,1,0,3-4级,3,4
20,三亚,2015/7/20,29,26,大到暴雨~阵雨,西南风,0,1,1,0,3-4级,3,4
21,三亚,2015/7/21,31,27,多云,南风,0,1,0,0,3-4级,3,4
22,三亚,2015/7/22,32,27,多云,东南风,1,1,0,0,3-4级,3,4
23,三亚,2015/7/23,32,27,多云,东南风,1,1,0,0,3-4级,3,4
24,三亚,2015/7/24,33,28,多云,西南风,0,1,1,0,3-4级,3,4
25,三亚,2015/7/25,31,27,多云~雷阵雨,西南风,0,1,1,0,3-4级,3,4
26,三亚,2015/7/26,30,26,阵雨,西南风,0,1,1,0,3-4级,3,4
27,三亚,2015/7/27,29,24,阵雨,东南风,1,1,0,0,3-4级,3,4
28,三亚,2015/7/28,26,24,大到暴雨,西南风,0,1,1,0,3-4级,3,4
29,三亚,2015/7/29,28,25,大到暴雨,西南风,0,1,1,0,3-4级,3,4
30,三亚,2015/7/30,27,24,中雨~阵雨,西南风,0,1,1,0,3-4级,3,4
31,三亚,2015/7/31,27,24,阵雨,西南风,0,1,1,0,3-4级,3,4
32,三亚,2015/8/1,30,25,阵雨,东南风,1,1,0,0,3-4级,3,4
33,三亚,2015/8/2,32,25,阵雨,东北风,1,0,0,1,3-4级,3,4
34,三亚,2015/8/3,32,26,多云,东北风,1,0,0,1,3-4级,3,4
35,三亚,2015/8/4,32,25,多云,东南风,1,1,0,0,3-4级,3,4
36,三亚,2015/8/5,33,25,多云,东风,1,0,0,0,3-4级,3,4
37,三亚,2015/8/6,33,25,多云,东南风,1,1,0,0,3-4级,3,4
38,三亚,2015/8/7,33,26,多云,西南风,0,1,1,0,3-4级,3,4
39,三亚,2015/8/8,32,25,多云,西北风,0,0,1,1,3-4级,3,4
40,三亚,2015/8/9,32,27,多云,西南风,0,1,1,0,3-4级,3,4
41,三亚,2015/8/10,33,27,多云,东南风,1,1,0,0,3-4级,3,4
42,三亚,2015/8/11,33,27,多云,西南风,0,1,1,0,3-4级,3,4
43,三亚,2015/8/12,33,26,多云,东南风,1,1,0,0,3-4级,3,4
44,三亚,2015/8/13,32,28,雷阵雨~多云,东南风,1,1,0,0,3-4级,3,4
45,三亚,2015/8/14,33,27,多云,东南风,1,1,0,0,3-4级,3,4
46,三亚,2015/8/15,34,28,多云,东南风,1,1,0,0,3-4级,3,4
47,三亚,2015/8/16,34,28,多云,东南风,1,1,0,0,3-4级,3,4
48,三亚,2015/8/17,34,28,多云,东南风,1,1,0,0,3-4级,3,4
49,三亚,2015/8/18,33,28,多云,东南风,1,1,0,0,3-4级,3,4
50,三亚,2015/8/19,34,28,多云,东南风,1,1,0,0,3-4级,3,4
51,三亚,2015/8/20,34,27,多云,西南风,0,1,1,0,3-4级,3,4
52,三亚,2015/8/21,34,27,多云,西南风,0,1,1,0,3-4级,3,4
53,三亚,2015/8/22,34,28,多云,西北风,0,0,1,1,3-4级,3,4
54,三亚,2015/8/23,34,27,多云,西南风,0,1,1,0,3-4级,3,4
55,三亚,2015/8/24,34,27,多云,西南风,0,1,1,0,3-4级,3,4
56,三亚,2015/8/25,32,26,多云,东南风,1,1,0,0,3-4级,3,4
57,三亚,2015/8/26,33,27,雷阵雨,东南风,1,1,0,0,3-4级,3,4
58,三亚,2015/8/27,33,27,阵雨,东南风,1,1,0,0,3-4级,3,4
59,三亚,2015/8/28,33,27,阵雨,东南风,1,1,0,0,3-4级,3,4
60,三亚,2015/8/29,30,26,大雨~阵雨,西南风,0,1,1,0,3-4级,3,4
61,三亚,2015/8/30,32,27,阵雨,西南风,0,1,1,0,3-4级,3,4
62,三亚,2015/8/31,32,27,多云,西南风,0,1,1,0,3-4级,3,4
63,三亚,2015/9/1,30,26,中雨~多云,东南风,1,1,0,0,3-4级,3,4
64,三亚,2015/9/2,29,25,大雨~雷阵雨,东南风,1,1,0,0,3-4级,3,4
65,三亚,2015/9/3,31,25,阵雨~多云,东北风,1,0,0,1,3-4级,3,4
66,三亚,2015/9/4,33,27,多云,东南风,1,1,0,0,3-4级,3,4
67,三亚,2015/9/5,33,27,多云,东南风,1,1,0,0,3-4级,3,4
68,三亚,2015/9/6,34,27,多云,西南风,0,1,1,0,3-4级,3,4
69,三亚,2015/9/7,33,27,多云,西北风,0,0,1,1,3-4级,3,4
70,三亚,2015/9/8,32,26,雷阵雨,东北风,1,0,0,1,3-4级,3,4
71,三亚,2015/9/9,33,27,多云~雷阵雨,东北风,1,0,0,1,3-4级,3,4
72,三亚,2015/9/10,33,26,雷阵雨,东北风,1,0,0,1,3-4级,3,4
73,三亚,2015/9/11,33,26,阵雨,东北风,1,0,0,1,3-4级,3,4
74,三亚,2015/9/12,33,26,雷阵雨~多云,东北风,1,0,0,1,3-4级,3,4
